user_id_key,business_id_key,stars,business_name
0,0,5.0,Dunn's Famous
1,1,5.0,Copper Branch
2,2,3.0,Stash Café
3,0,5.0,Dunn's Famous
4,3,4.0,La Société Montréal
5,4,4.0,Cacao 70
6,5,3.0,La Chronique
6,6,4.0,Toi Moi & Café
7,7,5.0,Saint-Laurent Warehouse
8,8,4.0,Cacao 70
8,9,4.0,Cacao 70
8,10,3.0,Pasta Casareccia
8,11,3.0,Scéna
8,12,2.0,Les 3 Brasseurs
8,13,5.0,L’Entrepôt - Mont-Royal
9,14,3.0,La Bella Italiana
10,9,4.0,Cacao 70
11,3,4.0,La Société Montréal
12,15,1.0,Freshii
12,9,5.0,Cacao 70
12,16,4.0,Restaurant Bitoque
12,13,3.0,L’Entrepôt - Mont-Royal
13,17,3.0,Les 3 Brasseurs
14,8,5.0,Cacao 70
14,18,4.0,Wendy's
15,19,4.0,Chez Ma Tante
15,20,4.0,The Bier Markt
15,21,3.0,Casa Grecque Pie Ix
15,22,2.0,Mon Shing
15,23,4.0,Restaurant Granada
16,2,4.0,Stash Café
17,4,5.0,Cacao 70
18,24,5.0,Tri Express
19,25,3.0,Le Warehouse
20,20,1.0,The Bier Markt
21,9,4.0,Cacao 70
21,1,4.0,Copper Branch
22,26,3.0,Les 3 Brasseurs
23,6,5.0,Toi Moi & Café
24,9,3.0,Cacao 70
24,12,4.0,Les 3 Brasseurs
24,12,4.0,Les 3 Brasseurs
25,0,5.0,Dunn's Famous
26,2,5.0,Stash Café
27,13,5.0,L’Entrepôt - Mont-Royal
28,9,4.0,Cacao 70
28,27,4.0,Pigeon
28,4,4.0,Cacao 70
29,8,3.0,Cacao 70
30,20,3.0,The Bier Markt
30,25,4.0,Le Warehouse
30,28,3.0,Dairy Queen
30,29,3.0,Cacao 70
30,12,1.0,Les 3 Brasseurs
30,4,4.0,Cacao 70
30,30,4.0,Second Cup
30,31,4.0,Dairy Queen - Orange Julius
30,13,3.0,L’Entrepôt - Mont-Royal
31,9,4.0,Cacao 70
32,2,5.0,Stash Café
33,32,2.0,Bâton Rouge Steakhouse & Bar
34,33,2.0,Diablos
35,34,3.0,Bâton Rouge Steakhouse & Bar
36,2,4.0,Stash Café
37,35,5.0,Wendy's
37,25,5.0,Le Warehouse
37,0,3.0,Dunn's Famous
37,0,4.0,Dunn's Famous
37,6,3.0,Toi Moi & Café
38,36,4.0,Le Vieux Dublin Pub & Restaurant
38,25,4.0,Le Warehouse
38,12,3.0,Les 3 Brasseurs
39,13,5.0,L’Entrepôt - Mont-Royal
40,33,3.0,Diablos
40,20,3.0,The Bier Markt
40,37,4.0,Da Bologna
40,30,4.0,Second Cup
40,17,4.0,Les 3 Brasseurs
41,0,3.0,Dunn's Famous
42,17,2.0,Les 3 Brasseurs
43,9,4.0,Cacao 70
43,38,2.0,Restaurant Sai Gwan
44,2,5.0,Stash Café
45,2,5.0,Stash Café
46,20,3.0,The Bier Markt
47,0,3.0,Dunn's Famous
48,4,4.0,Cacao 70
49,20,3.0,The Bier Markt
49,36,4.0,Le Vieux Dublin Pub & Restaurant
49,24,4.0,Tri Express
49,0,5.0,Dunn's Famous
49,17,4.0,Les 3 Brasseurs
49,13,4.0,L’Entrepôt - Mont-Royal
49,26,4.0,Les 3 Brasseurs
50,9,4.0,Cacao 70
50,2,4.0,Stash Café
51,10,5.0,Pasta Casareccia
52,0,5.0,Dunn's Famous
53,12,3.0,Les 3 Brasseurs
54,22,4.0,Mon Shing
54,16,2.0,Restaurant Bitoque
55,8,5.0,Cacao 70
55,29,3.0,Cacao 70
55,17,3.0,Les 3 Brasseurs
56,19,5.0,Chez Ma Tante
56,37,4.0,Da Bologna
56,30,4.0,Second Cup
56,34,1.0,Bâton Rouge Steakhouse & Bar
57,10,4.0,Pasta Casareccia
57,2,4.0,Stash Café
58,38,4.0,Restaurant Sai Gwan
59,33,4.0,Diablos
59,14,5.0,La Bella Italiana
59,9,4.0,Cacao 70
59,39,2.0,La Concession- Boutique + Comptoir Alimentaire
60,17,4.0,Les 3 Brasseurs
61,34,2.0,Bâton Rouge Steakhouse & Bar
62,9,5.0,Cacao 70
62,2,4.0,Stash Café
63,26,2.0,Les 3 Brasseurs
64,12,3.0,Les 3 Brasseurs
65,9,3.0,Cacao 70
65,9,3.0,Cacao 70
66,0,3.0,Dunn's Famous
67,33,3.0,Diablos
67,20,4.0,The Bier Markt
67,29,3.0,Cacao 70
67,37,5.0,Da Bologna
67,34,2.0,Bâton Rouge Steakhouse & Bar
68,9,5.0,Cacao 70
69,3,5.0,La Société Montréal
70,1,4.0,Copper Branch
70,3,4.0,La Société Montréal
71,20,5.0,The Bier Markt
72,30,4.0,Second Cup
73,18,1.0,Wendy's
74,9,4.0,Cacao 70
74,4,4.0,Cacao 70
74,13,4.0,L’Entrepôt - Mont-Royal
75,0,2.0,Dunn's Famous
76,20,5.0,The Bier Markt
77,32,4.0,Bâton Rouge Steakhouse & Bar
78,2,5.0,Stash Café
79,0,4.0,Dunn's Famous
80,7,4.0,Saint-Laurent Warehouse
81,19,5.0,Chez Ma Tante
81,24,4.0,Tri Express
81,39,3.0,La Concession- Boutique + Comptoir Alimentaire
82,14,3.0,La Bella Italiana
83,20,2.0,The Bier Markt
83,9,4.0,Cacao 70
84,9,4.0,Cacao 70
84,0,3.0,Dunn's Famous
85,40,3.0,Holiday Inn Montreal Centreville Downtown
86,2,5.0,Stash Café
86,13,4.0,L’Entrepôt - Mont-Royal
87,12,3.0,Les 3 Brasseurs
88,0,4.0,Dunn's Famous
89,2,2.0,Stash Café
89,38,4.0,Restaurant Sai Gwan
90,2,2.0,Stash Café
91,17,3.0,Les 3 Brasseurs
92,13,5.0,L’Entrepôt - Mont-Royal
93,13,4.0,L’Entrepôt - Mont-Royal
94,0,4.0,Dunn's Famous
95,39,2.0,La Concession- Boutique + Comptoir Alimentaire
96,20,5.0,The Bier Markt
97,12,4.0,Les 3 Brasseurs
98,30,4.0,Second Cup
99,2,5.0,Stash Café
100,8,4.0,Cacao 70
101,0,3.0,Dunn's Famous
102,12,4.0,Les 3 Brasseurs
103,12,3.0,Les 3 Brasseurs
103,24,5.0,Tri Express
103,26,3.0,Les 3 Brasseurs
104,12,3.0,Les 3 Brasseurs
104,13,4.0,L’Entrepôt - Mont-Royal
104,26,3.0,Les 3 Brasseurs
104,34,3.0,Bâton Rouge Steakhouse & Bar
105,2,5.0,Stash Café
106,12,3.0,Les 3 Brasseurs
106,17,3.0,Les 3 Brasseurs
107,2,4.0,Stash Café
108,8,3.0,Cacao 70
109,0,5.0,Dunn's Famous
110,17,2.0,Les 3 Brasseurs
111,4,4.0,Cacao 70
112,2,5.0,Stash Café
113,41,3.0,Noobox
114,12,5.0,Les 3 Brasseurs
115,9,5.0,Cacao 70
116,9,3.0,Cacao 70
117,2,3.0,Stash Café
118,0,4.0,Dunn's Famous
119,36,3.0,Le Vieux Dublin Pub & Restaurant
119,0,4.0,Dunn's Famous
119,17,3.0,Les 3 Brasseurs
120,17,4.0,Les 3 Brasseurs
121,6,4.0,Toi Moi & Café
122,0,3.0,Dunn's Famous
122,0,4.0,Dunn's Famous
123,9,5.0,Cacao 70
124,0,4.0,Dunn's Famous
125,2,4.0,Stash Café
126,38,4.0,Restaurant Sai Gwan
127,9,4.0,Cacao 70
127,2,4.0,Stash Café
127,13,4.0,L’Entrepôt - Mont-Royal
128,20,4.0,The Bier Markt
129,12,2.0,Les 3 Brasseurs
